relative_path,sheet,rows,columns,file_size_bytes,best_cotc_source,cotc_nonempty,unique_cotc,selected186_overlap,selected186_missing,selected186_overlap_fraction,parent_candidate
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S10,46,22,115541,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure 4,45,12,115541,__index__,0,0,0,186,0.0,False
results/tables/GSE39055_RFS_score_variant_sensitivity.csv,__table__,45,14,9795,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S6,44,12,115541,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S9,44,4,115541,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/mofa_k16_r2.csv,__table__,44,4,1786,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/mofa_k16_r2.csv,__table__,44,4,1785,__index__,0,0,0,186,0.0,False
results/tables/paper4_final_analysis_lock_README.txt,__table__,44,1,2122,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S8,42,13,115541,__index__,0,0,0,186,0.0,False
paper5/data_manifest/TARGET_OS_technical_metadata/TARGET_OS_technical_metadata_preflight_README.txt,__table__,42,1,2585,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_random_control_paired_statistical_tests.csv,__table__,42,21,12229,__index__,0,0,0,186,0.0,False
results/tables/GSE239948_external_representation_README.txt,__table__,42,1,1786,__index__,0,0,0,186,0.0,False
results/tables/Ammons_scRNA_six_dog_localization_README.txt,__table__,41,1,4494,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_frozen_transfer_scoring_specification.csv,__table__,40,9,14951,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k12_r2.csv,__table__,40,4,1615,__index__,0,0,0,186,0.0,False
